DATA IN SINGLE CONDITION:
LN1.intensity
% p-value <= 0.05: 7.14285714285714 %
GO_id	GO_term	proteins	Core	p-value	q-value	PES	Number of null distributions inside range
GO_id	GO_term	proteins	Core	p-value	q-value	PES	Number of null distributions inside range
GO:0000502	proteasome complex	P17980|P04792|P25786|P55072|Q13200	Core not found	0	0	4.04684880437802	5
GO:0009986	cell surface	P16070|P30101|O00468|O14672|P04083|P05362|P05556|P06576|P07204|P07355|P08195|P08238|P10809|P11021|P14174|P16144|P23229|P26006|P28799|Q00839|Q03135|Q9P2B2|Q9Y490	Core not found	0	0	16.2178346074982	5
GO:0005769	early endosome	P07355|P10809	Core not found	0	0	1.8330525527099	0
GO:0005874	microtubule	P49368|P48643|P07437|P68371|Q16555|Q8WXX0	Core not found	0	0	4.37073147301909	0
GO:0008360	regulation of cell shape	P02751|P04075|P52565|P05362|P35579	Core not found	0	0	3.94236837653887	0
GO:0042493	response to drug	P01034|P04083|P05023|P05362|P10809|P26006|Q03135|Q16555	Core not found	0	0	5.69561046012976	6
GO:0023026	MHC class II protein complex binding	P08238|P11142|P14618	Core not found	0	0	2.54674066331493	4
GO:0031966	mitochondrial membrane	P04083|P06576	Core not found	0	0	1.69125656634739	0
GO:0034605	cellular response to heat	P08238|P11142|P55072	Core not found	0	0	2.48622252075263	0
GO:0043547	positive regulation of GTPase activity	P52565|O00468|P05362|Q9Y624	Core not found	0	0	2.87438880195728	8
GO:0034389	lipid particle organization	P62937|Q9P2B2	Core not found	0	0	1.81555012346801	0
GO:0006928	movement of cell or subcellular component	P52565|P04083|P04792|P07437|P63261|P68371|Q9Y490	Core not found	0	0	5.78116041675247	5
GO:0051085	chaperone mediated protein folding requiring cofactor	P10809|P11142	Core not found	0	0	1.72891806983812	0
GO:1903561	extracellular vesicle	P98095|P05023|P14618|P68371|Q00610	Core not found	0	0	3.74282728597412	3
GO:0090090	negative regulation of canonical Wnt signaling pathway	P17980|P25786|P62979|Q03135|Q13200	Core not found	0	0	3.57695694770068	5
GO:1902166	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	P16070|P14174	Core not found	0	0	1.4933289092272	0
GO:0030955	potassium ion binding	P05023|P14618	Core not found	0	0	1.76922090705336	0
GO:0032403	protein complex binding	P07437|P10809|P21796|P55072	Core not found	0	0	3.4031721474932	0
GO:0001895	retina homeostasis	P04792|P63261	Core not found	0	0	1.66434492596896	0
GO:0042288	MHC class I protein binding	P25705|P06576|P07437|P68371	Core not found	0	0	3.56101224551296	5
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	P10809|P55072	Core not found	0	0	1.81758822056829	0
GO:0061621	canonical glycolysis	P00558|P04075|P04406|P06733|P14618	Core not found	0	0	4.21699267532204	0
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	P17980|P25786|P62979|Q13200	Core not found	0	0	2.93699575640924	6
GO:0007044	cell-substrate junction assembly	P02751|P23229|Q9Y490	Core not found	0	0	1.94054847376831	5
GO:0005200	structural constituent of cytoskeleton	O00468|P07437|P63261|P68371|Q9Y490	Core not found	0	0	4.33278517270351	1
GO:0003924	GTPase activity	P07437|P13639|P41091|P68104|P68371	Core not found	0	0	3.99761428448398	9
GO:0051258	protein polymerization	P07437|P68371	Core not found	0	0	1.83649305001511	0
GO:0046961	proton-transporting ATPase activity, rotational mechanism	P25705|P06576	Core not found	0	0	1.72451919549785	0
GO:0019834	phospholipase A2 inhibitor activity	P04083|P07355	Core not found	0	0	1.70604632809801	0
GO:0048306	calcium-dependent protein binding	P04083|P07355	Core not found	0	0	1.70604632809801	0
GO:0051289	protein homotetramerization	P04075|P34897	Core not found	0	0	1.71810702270402	0
GO:0005811	lipid particle	P04406|P07355|P55072|Q03135|Q07065	Core not found	0	0	4.03853082413723	5
GO:0006986	response to unfolded protein	P04792|P08238|P10809|P11142	Core not found	0	0	3.4074884782679	3
GO:0031625	ubiquitin protein ligase binding	P07437|P10809|P11021|P11142|P55072|P63261|Q13263	Core not found	0	0	5.60562424627821	4
GO:0008285	negative regulation of cell proliferation	P06748|P17096|Q16270	Core not found	0	0	1.84976908109607	5
GO:0016887	ATPase activity	P17980|P25705|P06576|P10809|P11021|P11142|P35579|P55072|Q8WXX0|Q9Y230	Core not found	0	0	7.44129103327438	7
GO:0019901	protein kinase binding	P52565|O14672|P04792|P05023|P06748|P08238|P13639|P21796|P39019|P68104|Q00610|Q03135|Q14764|Q16555	Core not found	0	0	10.6106575605755	10
GO:0070062	extracellular exosome	Q16787|P15559|P07910|P49368|P48643|P29401|P62081|P00558|P06454|P11413|P16070|P40926|P98095|P09651|P02751|P30101|P04075|P52565|P25705|Q15758|O00154|O00468|O14672|O15230|P00736|P01024|P01034|P04083|P04406|P04792|P05023|P05121|P05362|P05556|P06576|P06733|P07237|P07355|P07437|P07737|P07858|P08195|P08238|P08708|P09211|P09758|P0C0S8|P10412|P10809|P11021|P11142|P12814|P13639|P14174|P14618|P14625|P14923|P16144|P16401|P21796|P25786|P26006|P26641|P28799|P34897|P35579|P39019|P41091|P49327|P55072|P60842|P61981|P62263|P62424|P62805|P62937|P62979|P63261|P68104|P68371|P68431|P98160|Q00610|Q01650|Q07065|Q08380|Q13162|Q13200|Q14764|Q14974|Q16270|Q16555|Q16658|Q5QNW6|Q92743|Q99536|Q9GZM7|Q9Y230|Q9Y490|Q9Y624	Core not found	0	0	66.1061294209411	0
GO:0031340	positive regulation of vesicle fusion	P04083|P07355	Core not found	0	0	1.70604632809801	0
GO:0001726	ruffle	P05556|P07355|P12814|P35579|Q9Y490	Core not found	0	0	4.00929993582648	1
GO:0007017	microtubule-based process	P07437|P68371	Core not found	0	0	1.83649305001511	0
GO:0048013	ephrin receptor signaling pathway	O14672|P35579|P63261	Core not found	0	0	2.11821138166842	8
GO:0060333	interferon-gamma-mediated signaling pathway	P16070|P02795|P05362	Core not found	0	0	2.60188375205506	1
GO:0006094	gluconeogenesis	P00558|P40926|P04075|P04406|P06733	Core not found	0	0	3.86184326222119	3
GO:0003746	translation elongation factor activity	P13639|P26641|P68104	Core not found	0	0	2.44478540414142	6
GO:0051259	protein oligomerization	P06748|Q13263|Q9UJZ1	Core not found	0	0	2.11260839159433	2
GO:0016021	integral component of membrane	O00468|O14672|P05023|P08195|Q07065|Q99536|Q9P2B2|Q9Y624	Core not found	0	0	6.0017887302026	5
GO:0005975	carbohydrate metabolic process	P29401|P00558|P11413|P16070|P40926|P04075|O00468|P04406|P06733|P08195|P14618|P62979|P98160	Core not found	0	0	9.90302803205548	10
GO:0008092	cytoskeletal protein binding	P04075|P07355	Core not found	0	0	1.77069113036348	0
GO:0005515	protein binding	P00367|P15559|P07910|P49368|P48643|P62081|P00558|P06454|P31040|P11413|P16070|P17980|Q14152|P09651|P02751|P30101|P32969|P04075|P52565|P25705|Q15758|O00154|O00468|O14672|P00736|P01024|P01034|P02545|P02795|P04083|P04406|P04792|P05023|P05121|P05362|P05556|P06576|P06733|P06748|P07204|P07237|P07355|P07437|P07737|P07858|P08195|P08238|P09211|P09496|P09758|P0C0S8|P10412|P10809|P11021|P11142|P12814|P13639|P14174|P14618|P14625|P14923|P16144|P17096|P21796|P22626|P23229|P25786|P26006|P26373|P26640|P26641|P28799|P34897|P35579|P39019|P41091|P49327|P52926|P55072|P60842|P61981|P62263|P62424|P62805|P62937|P62979|P63261|P68104|P68431|P98160|Q00610|Q00839|Q03135|Q13162|Q13200|Q13263|Q14764|Q14974|Q15233|Q16270|Q16555|Q16658|Q9GZM7|Q9P2B2|Q9UJZ1|Q9Y230|Q9Y3I0|Q9Y490|Q9Y624	Core not found	0	0	70.4191904667811	0
GO:0045121	membrane raft	P00558|P05362|P05556|P07355|P10809|Q03135|Q9UJZ1	Core not found	0	0	5.45983942123908	2
GO:0032587	ruffle membrane	P05556|P68104|Q9Y490	Core not found	0	0	2.62548100502535	9
GO:0006968	cellular defense response	P05556|Q08380	Core not found	0	0	1.70235102252086	0
GO:0031982	vesicle	P29401|P04083|P04406|P07355|P09211|P14174|P14618	Core not found	0	0	5.43627032047071	5
GO:0042267	natural killer cell mediated cytotoxicity	P07437|P68371	Core not found	0	0	1.83649305001511	0
GO:0031594	neuromuscular junction	P05556|P35579	Core not found	0	0	1.60357565896862	0
GO:0051082	unfolded protein binding	P49368|P48643|P06748|P08238|P10809|P11021|P11142|P14625|P62937|P68371|Q9Y230	Core not found	0	0	7.76951788948289	8
GO:0005615	extracellular space	P02751|P04075|P52565|O00468|O15230|P01024|P01034|P04083|P04792|P05121|P05362|P06733|P07204|P07355|P07858|P09211|P09758|P10809|P11142|P12814|P14174|P28799|P62937|P62979|P63261|P68104|P98160|Q08380|Q13162|Q13753|Q16270|Q92743|Q9GZM7	Core not found	0	0	23.7774432666825	0
GO:0005634	nucleus	A6NE09|P07910|P29401|P62081|P06454|P11413|P40926|P17980|Q14152|P30101|P32969|P04075|P52565|O14672|O15230|P02545|P02795|P04083|P04406|P04732|P04792|P06576|P06733|P06748|P07355|P07437|P07737|P08195|P09211|P09758|P0C0S8|P10412|P11021|P11142|P13639|P14618|P14625|P14923|P17096|P21796|P22626|P25786|P26373|P26641|P35579|P41091|P52926|P55072|P60842|P62424|P62805|P62937|P62979|P63261|P68104|P68371|P68431|P80297|Q00839|Q01650|Q13162|Q13263|Q14764|Q15233|Q5QNW6|Q9Y230|Q9Y3I0	Core not found	0	0	43.3710226763573	0
GO:0043234	protein complex	P07910|P04083|P05023|P10809|P35579|P62805|P68431|Q00610|Q03135	Core not found	0	0	6.76626624692403	5
GO:0006754	ATP biosynthetic process	P04075|P25705|P06576|P14618	Core not found	0	0	3.54026413628202	5
GO:0042802	identical protein binding	P00367|P15559|P07910|P11413|P04075|P01034|P04406|P04792|P34897|P55072|P63261|Q03135|Q15233|Q9Y230	Core not found	0	0	10.1018929643928	1
GO:0044822	poly(A) RNA binding	P15559|P07910|P49368|P62081|P40926|Q14152|P09651|P30101|P04075|P25705|P04792|P06733|P06748|P07237|P07355|P07737|P08195|P08238|P08708|P10412|P10809|P11142|P13639|P14618|P16401|P22626|P26373|P28799|P35579|P39019|P49327|P55072|P60842|P61981|P62263|P62424|P62805|P62917|P62937|P62979|P68104|Q00610|Q00839|Q07065|Q13263|Q14974|Q15233|Q16658|Q9Y3I0	Core not found	0	0	32.0267716493956	0
GO:0005819	spindle	P04792|P35579|Q00610	Core not found	0	0	2.52827493394497	0

DATA RATIO BETWEEN CONDITIONS:
% p-value <= 0.05: 5.78231292517007 %
GO_term	p-value	PES
GO:2000774	0	3.44648373925681
GO:0006614	0	1.60473116521112
GO:0007067	0	1.39893635117862
GO:0048010	0	0.776299867389113
GO:0008285	0	1.33644291155309
GO:0045944	0	1.60045115641297
GO:0019843	0	2.55147731082237
GO:0030838	0	0.770147535112261
GO:0003680	0	3.44648373925681
GO:0008426	0	0.724859150223277
GO:0008236	0	2.69866391155376
GO:0071276	0	3.038870682858
GO:0002181	0	2.55147731082237
GO:0010811	0	3.15309141039851
GO:0032993	0	1.13197959950999
GO:0019083	0	1.60473116521112
GO:0071407	0	0.73352291103713
GO:0045926	0	1.70088996085161
GO:0006508	0	1.48686742785402
GO:0022625	0	1.62317021470677
GO:0006413	0	1.37143536509473
GO:0016363	0	1.81191526317004
GO:0035987	0	1.70266730848672
GO:0050821	0	0.885678365724939
GO:0008134	0	3.44648373925681
GO:0090402	0	3.44648373925681
GO:0035988	0	1.49750644917401
GO:0022627	0	1.30646438339674
GO:0050776	0	0.849175920717859
GO:0035872	0	0.994009502845371
GO:0000184	0	1.60473116521112
GO:0043086	0	0.732633682352648
GO:0005840	0	1.87457934234949
GO:0006366	0	3.44648373925681
